"Last digit of your phone number (type numerics only)","Height (in cm only, include decimals. Do not type 'cm'. Just the number please)"
"3","169.69"
"8","152.4"
"8","165.6"
"6","162.5"
"7","166.5"
"0","175.00"
"3","182.88"
"8","179.8"
"6","155.94"
"2","159.6"
"4","178.5"
"5","177.8"
"2","174.0"
"9","180.05"
"1","163"
"7","181.3"
"4","166.5"
"2","157.48"
"1","173.9"
"8","160"
"7","162.5"
"4","169.0"
"5","172.72"
"2","152.4"
"6","171.5"
"8","177"
"4","164.5"
"0","186"
"7","165.5"
"5","165.0"
"2","177.8"
"0","170.69"
"1","162.56"
"6","149.5"
"7","162.56"
"5","183.1"
"9","180.33"
"8","185.0"
"6","171.95"
"3","161.4"
"8","163.2"
"1","158.69"
"9","179.8"
"3","170"
"7","172.0"
